"DM1578","<p><strong>Kursen &#228;r endast &#246;ppen f&#246;r studenter p&#229; civilingenj&#246;rsprogrammet i Medieteknik (CMETE).</strong></p>","<p><strong>The course is available only for students studying</strong>&#160;<strong>Master of Science in Engineering, Media Technology (CMETE).</strong></p>"
"FAF3509",NULL,NULL
"FAF3117",NULL,NULL
"FAF3414",NULL,NULL
"FCK3001",NULL,NULL
"FAF3507",NULL,NULL
"FAF3502",NULL,NULL
"FDD3010",NULL,NULL
"FMJ3390",NULL,NULL
"FDD3011","<p>FDD3457 programsematik och programanalys, eller motsvarande kunskaper</p>",NULL
"AI2128",NULL,NULL
"ME1043",NULL,NULL
"FMF3037",NULL,NULL
"FAF3505",NULL,NULL
"FAF3504",NULL,NULL
"FAF3503",NULL,NULL
"FAF3506",NULL,NULL
"FDD3012",NULL,NULL
"FHN3002",NULL,NULL
"FAF3508",NULL,NULL
"FAF3407",NULL,NULL
"KD1050","<p>KD1020 Inledande kemi<br />KD1030 Kemisk j&#228;mvikt<br />SF1625 Envariabelanalys<br />SF1626 Flervariabelanalys<br />SF1624 Algebra och geometri<br />eller motsvarande.</p>","<p>KD1020 Introductory Chemistry<br />KD1030 Chemical Equilibria<br />SF1625 Calculus in One Variable<br />SF1626 Calculus in Several Variable<br />SF1624 Algebra and Geometry<br />or similarly.</p>"
"ML1608",NULL,NULL
"FAF3413",NULL,NULL
"FDD3013",NULL,NULL
"AF1759",NULL,NULL
"FSK3003",NULL,"<p>None.</p>"
"FAF3417",NULL,NULL
"FAF3418",NULL,NULL
"FAF3419",NULL,NULL
"FAF3408",NULL,NULL
"MJ1150",NULL,NULL
"FDD3015",NULL,NULL
"FAF3409",NULL,NULL
"MJ2433",NULL,NULL
"FAI3201",NULL,NULL
"LO2991","<p>H&#246;gskoleingenj&#246;rs- eller kandidatexamen om minst 180 hp i teknik, samh&#228;llsvetenskap eller motsvarande.&#160;</p>","<p>Bachelor degree, minimum 180 higher education credits, in social sciences, engineering science or equivalent.</p>"
"FAF3403",NULL,NULL
"FAI3104",NULL,NULL
"ML1612",NULL,NULL
"FAF3412",NULL,NULL
"FAF3411",NULL,NULL
"FAF3406",NULL,NULL
"FAF3410",NULL,NULL
"FAI3202",NULL,NULL
"HN2024",NULL,NULL
"ML1614",NULL,NULL
"FDD3403","<p>Studenter b&#246;r ha tagit en kurs motsvarande DD2401 Neurovetenskap (Avancerad niv&#229;). En bakgrund inom dynamiska system, stokastiska processer och/eller informationsteori &#228;r f&#246;rdelaktig men inte avg&#246;rande.</p>","<p>Student should have taken a course equivalent to the second cycle course DD2401 Neuroscience. Background in dynamical systems, stochastic processes, information theory is desirable but not essential.</p>"
"FDD3313",NULL,NULL
"FCH3101",NULL,NULL
"FHN3011",NULL,NULL
"ML190X",NULL,NULL
"FAF3404",NULL,NULL
"SH1014",NULL,NULL
"FAI3203","",""
"FAG3184",NULL,NULL
"FAK3150",NULL,NULL
"AI2130",NULL,NULL
"KE1060",NULL,NULL
"AK1204","<p>Inga s&#228;rskilda f&#246;rkunskaper rekommenderas.</p>","<p>No recommended prerequisites.</p>"
"FAF3405",NULL,NULL
"KD2370",NULL,NULL
"FCK3301",NULL,NULL
"FDD3316",NULL,NULL
"FAI3204",NULL,NULL
"FCK3302",NULL,NULL
"HI1025",NULL,NULL
"CH203V",NULL,NULL
"AG1103","<p>Grundl&#228;ggande h&#246;gskolebeh&#246;righet samt AH1030 stadsutveckling och transportsystem eller motsvarande.</p>",NULL
"SI2390","<p>Kvantfysik<br />Relativitetsteori<br />Analytisk mekanik och klassisk f&#228;ltteori (rekommenderad)</p>","<p>Quantum Physics.<br />Relativity Theory.<br />Analytical Mechanics and Classical Field Theory (recommended).</p>"
"FDD3321","<p>A general interest in cloud computing as well as some contact to one of the subfields is helpful.</p>","<p>A general interest in cloud computing as well as some contact to one of the subfields is helpful.</p>"
"FCB3034",NULL,NULL
"FAI3303",NULL,NULL
"ML2200",NULL,NULL
"AF259X",NULL,NULL
"FAI3205",NULL,NULL
"HE1041",NULL,NULL
